Codigo da oferta;Codigo da serie;Emissor;Nome do devedor;Nome de operacao;Emissao;Serie;Data de encerramento da oferta;Status da oferta;Valor total encerrado da serie;TVM;Coordenador lider;Preco unitario;Quantidade total emitida da serie;Valor total emitido da serie;Quantidade total encerrada da serie;Prazo serie;Indexador;Spread;Juros;Periodicidade taxa;Periodicidade pagamento;Data do inicio da rentabilidade;Data de vencimento;Serie senior junior;Setor ANBIMA emissor ou devedor;Segmento ANBIMA emissor ou devedor;Data de emissao;Lei 12431;Artigo da 12431;Garantia;Lastro;Risco de credito
SRE/2024/04505;CVM/SRE/AUT/DEB/PRI/2024/022;Necta gas natural s.a.;;;1;Série Única;02/02/2024;Encerrada;70000000;Debêntures;Banco bradesco bbi s.a.;1000;70000;70000000;70000;3;DI + Spread;1,55;;Anualmente;Semestralmente;01/02/2024;19/01/2027;Não se aplica;Comércio atacadista e varejista;Combustível e gás;19/01/2024;Não;;Quirografária;;Não se aplica
SP-2024-50074;ANBIMA/2024/50074;Travessia securitizadora de creditos mercantis vii s.a.;;;1;Série Única;05/02/2024;Encerrada;252046442;Debêntures;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1;500000000;500000000;252046442;10;IPCA;9;;Anualmente;;24/02/2022;20/01/2032;Não se aplica;Financeiro;Securitizadoras;28/01/2022;Não;;Quirografária;;Não se aplica
SRE/2023/02566;CVM/SRE/AUT/CRI/PRI/2023/360;Companhia provincia de securitizacao;;;34;1;05/02/2024;Encerrada;26000000;CRI;Companhia provincia de securitizacao;1000;26000;26000000;26000;5;DI + Spread;5;;Anualmente;Mensalmente;17/08/2023;29/08/2028;;Financeiro;Securitizadoras;15/08/2023;Não;;Não se aplica;;
SRE/2024/04288;CVM/SRE/AUT/CRA/PRI/2024/025;True securitizadora s.a.;;Atacadão;87;1;05/02/2024;Encerrada;145603000;CRA;Banco itau bba s.a.;1000;145603;145603000;145603;3;DI + Spread;0,85;;Anualmente;Semestralmente;05/02/2024;15/01/2027;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04288;CVM/SRE/AUT/CRA/PRI/2024/026;True securitizadora s.a.;;Atacadão;87;2;05/02/2024;Encerrada;61273000;CRA;Banco itau bba s.a.;1000;61273;61273000;61273;5;DI + Spread;0,95;;Anualmente;Semestralmente;05/02/2024;15/01/2029;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04288;CVM/SRE/AUT/CRA/PRI/2024/027;True securitizadora s.a.;;Atacadão;87;3;05/02/2024;Encerrada;340590000;CRA;Banco itau bba s.a.;1000;340590;340590000;340590;3;Pré-Fixado;;10,97;Anualmente;Semestralmente;05/02/2024;15/01/2027;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04288;CVM/SRE/AUT/CRA/PRI/2024/028;True securitizadora s.a.;;Atacadão;87;4;05/02/2024;Encerrada;196131000;CRA;Banco itau bba s.a.;1000;196131;196131000;196131;5;IPCA;6,45;;Anualmente;Semestralmente;05/02/2024;15/01/2029;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/16928;CVM/SRE/AUT/CRI/PRI/2024/580;Vert companhia securitizadora;;;137;Série Única;19/08/2024;Encerrada;48000000;CRI;Vert companhia securitizadora;1000;48000;48000000;48000;5;IPCA;10,75;;Anualmente;Mensalmente;16/08/2024;25/07/2029;;Financeiro;Securitizadoras;07/08/2024;Não;;Não se aplica;;
SRE/2024/04288;CVM/SRE/AUT/CRA/PRI/2024/029;True securitizadora s.a.;;Atacadão;87;5;05/02/2024;Encerrada;256403000;CRA;Banco itau bba s.a.;1000;256403;256403000;256403;7;IPCA;6,55;;Anualmente;Semestralmente;05/02/2024;15/01/2031;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SP-2024-50270;ANBIMA/2024/50270;Habitasec securitizadora s.a.;;Extrema pulverizado iv;23;1;06/02/2024;Encerrada;46810000;CRI;Habitasec securitizadora s.a.;1000;46810;46810000;46810;20;IPCA;7;;Anualmente;Mensalmente;;20/12/2042;;Financeiro;Securitizadoras;20/12/2022;Não;;Não se aplica;;
SRE/2023/02534;CVM/SRE/AUT/DEB/PRI/2023/208;Consag engenharia s/a;;;1;1;06/02/2024;Encerrada;54000000;Debêntures;Fram capital distribuidora de titulos e valores mobiliarios s.a.;1000;72000;72000000;54000;1,4;DI + Spread;5;;Anualmente;Mensalmente;14/08/2023;28/12/2024;Não se aplica;Outros serviços;;28/07/2023;Não;;Real com garantia adicional;;Não se aplica
SRE/2023/02534;CVM/SRE/AUT/DEB/PRI/2023/209;Consag engenharia s/a;;;1;2;06/02/2024;Encerrada;81000000;Debêntures;Fram capital distribuidora de titulos e valores mobiliarios s.a.;1000;108000;108000000;81000;4;DI + Spread;8,5;;Anualmente;Mensalmente;14/08/2023;28/07/2027;Não se aplica;Outros serviços;;28/07/2023;Não;;Real com garantia adicional;;Não se aplica
SRE/2023/03092;CVM/SRE/AUT/CRI/PRI/2023/456;Canal companhia de securitizacao;;Colmeia prime manaus;61;1;06/02/2024;Encerrada;13700000;CRI;Canal companhia de securitizacao;1000;13700;13700000;13700;4;IPCA;13;;Anualmente;Mensalmente;06/10/2023;22/09/2027;;Financeiro;Securitizadoras;29/09/2023;Não se aplica;;Não se aplica;;
SRE/2023/03092;CVM/SRE/AUT/CRI/PRI/2023/457;Canal companhia de securitizacao;;Colmeia prime manaus;61;2;06/02/2024;Encerrada;9000000;CRI;Canal companhia de securitizacao;1000;9000;9000000;9000;4;IPCA;13;;Anualmente;Mensalmente;;22/09/2027;;Financeiro;Securitizadoras;29/09/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/368;Vert companhia securitizadora;;Mrv;112;1;07/02/2024;Encerrada;4428000;CRI;Guide investimentos s.a. corretora de valores;1;4428000;4428000;4428000;5;DI + Spread;4,5;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/369;Vert companhia securitizadora;;Mrv;112;2;07/02/2024;Encerrada;11300000;CRI;Guide investimentos s.a. corretora de valores;1;11300000;11300000;11300000;5;DI + Spread;4,5;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/370;Vert companhia securitizadora;;Mrv;112;3;07/02/2024;Encerrada;9500000;CRI;Guide investimentos s.a. corretora de valores;1;9500000;9500000;9500000;5;DI + Spread;4,5;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/371;Vert companhia securitizadora;;Mrv;112;4;07/02/2024;Encerrada;15379548;CRI;Guide investimentos s.a. corretora de valores;1;15379548;15379548;15379548;5;DI + Spread;4,5;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
