Codigo da oferta;Codigo da serie;Emissor;Nome do devedor;Nome de operacao;Emissao;Serie;Data de encerramento da oferta;Status da oferta;Valor total encerrado da serie;TVM;Coordenador lider;Preco unitario;Quantidade total emitida da serie;Valor total emitido da serie;Quantidade total encerrada da serie;Prazo serie;Indexador;Spread;Juros;Periodicidade taxa;Periodicidade pagamento;Data do inicio da rentabilidade;Data de vencimento;Serie senior junior;Setor ANBIMA emissor ou devedor;Segmento ANBIMA emissor ou devedor;Data de emissao;Lei 12431;Artigo da 12431;Garantia;Lastro;Risco de credito
RJ-2016-07894;CRA/2016/023;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;93;03/01/2017;Encerrada;755571000;CRA;Banco itau bba s.a.;1000;755571;755571000;755571;5,1;Percentual DI;;99;Anualmente;Semestralmente;;17/01/2022;;Financeiro;Securitizadoras;15/12/2016;Não se aplica;;Não se aplica;;
RJ-2016-07894;CRA/2016/024;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;94;03/01/2017;Encerrada;494429000;CRA;Banco itau bba s.a.;1000;494429;494429000;494429;7;IPCA;6;;Anualmente;Anualmente;;15/12/2023;;Financeiro;Securitizadoras;15/12/2016;Não se aplica;;Não se aplica;;
RJ-2016-07954;CRI/2016/036;Cibrasec-companhia brasileira de securitizacao;Multiplan empreendimentos imobiliarios s.a.;;2;272;03/01/2017;Encerrada;300000000;CRI;Banco bradesco bbi s.a.;1000;300000;300000000;300000;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Financiamento Imobiliário;Concentrado
SP-2017-50128;ANBIMA/2017/50128;Lojas riachuelo sa;;;2;1;03/01/2017;Encerrada;300000000;Debêntures;Banco itau bba s.a.;1000;300000;300000000;300000;2;Percentual DI;;112;Anualmente;Não informado;;02/01/2019;Não se aplica;Comércio atacadista e varejista;Varejo de diversos produtos;02/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-50128;ANBIMA/2017/50129;Lojas riachuelo sa;;;2;2;03/01/2017;Encerrada;175000000;Debêntures;Banco itau bba s.a.;1000;175000;175000000;175000;2;Percentual DI;;113;Anualmente;Não informado;;02/01/2019;Não se aplica;Comércio atacadista e varejista;Varejo de diversos produtos;02/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-00009;ANBIMA/2017/00012;Andrade gutierrez participacoes s/a;;;4;Série Única;06/01/2017;Encerrada;1600000000;Debêntures;Banco bradesco bbi s.a.;1000;1600000;1600000000;1600000;6;Percentual DI;;137;Anualmente;Não informado;;02/01/2023;Não se aplica;Empreendimentos e participações;Outras participações;02/01/2017;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50130;ANBIMA/2017/50130;Prime incorporacoes e construcoes s/a.;;;2;Série Única;06/01/2017;Encerrada;220000000;Debêntures;Banco itau bba s.a.;1000;220000;220000000;220000;0,2;Percentual DI;;108;Anualmente;Não informado;;06/04/2017;Não se aplica;Construção civil;Construtora e incorporadora;06/01/2017;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-50000;ANBIMA/2017/50000;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;106;10/01/2017;Encerrada;13047000;CRA;Spinelli sa corretora de valores mobiliarios e cambio;1000;13047;13047000;13047;0,6;Pré-Fixado;;18;Anualmente;Vencimento;;07/08/2017;;Financeiro;Securitizadoras;22/12/2016;Não se aplica;;Não se aplica;;
SP-2017-50000;ANBIMA/2017/50001;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;107;10/01/2017;Encerrada;1344000;CRA;Spinelli sa corretora de valores mobiliarios e cambio;1000;1344;1344000;1344;0,6;Pré-Fixado;;29;Anualmente;Vencimento;;07/08/2017;;Financeiro;Securitizadoras;22/12/2016;Não se aplica;;Não se aplica;;
SP-2017-50131;ANBIMA/2017/50131;Xnice participacões;;;1;Série Única;10/01/2017;Encerrada;286000000;Debêntures;Gradual corretora de cambio, titulos e valores mobiliarios s/a;1000000;286;286000000;286;15,3;IPCA;10;;Anualmente;Não informado;;30/05/2029;Não se aplica;Empreendimentos e participações;Outras participações;28/02/2014;Não;;Quirografária com garantia Adicional;;Não se aplica
SP-2017-00005;ANBIMA/2016/00004;Votorantim cimentos s.a.;;;9;Série Única;11/01/2017;Encerrada;500000000;Debêntures;Banco bradesco bbi s.a.;1;500000000;500000000;500000000;5;Percentual DI;;120;Anualmente;Não informado;;10/01/2022;Não se aplica;Materiais de construção e agregados;;10/01/2017;Não;;Quirografária;;Não se aplica
SP-2017-50038;ANBIMA/2017/50038;Reag securities securitizadora de creditos;Laboratório sabin de análises clínicas ltda;;1;1;11/01/2017;Encerrada;65893406,71;CRI;Cm capital markets distribuidora de titulos e valores mobiliarios ltda.;1464,297927;45000;65893406,71;45000;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Locação;Concentrado
SP-2017-00002;ANBIMA/2017/00002;Triangulo do sol auto - estradas s/a;;;3;Série Única;12/01/2017;Encerrada;110000000;Debêntures;Banco btg pactual s.a.;10000;11000;110000000;11000;2;DI + Spread;2;;Anualmente;Não informado;;12/01/2019;Não se aplica;Transporte e logística;Transporte rodoviário;12/01/2017;Não;;Quirografária;;Não se aplica
SP-2017-00007;ANBIMA/2017/00005;Transmissora sul litoranea de energia sa - tsle;;;1;Série Única;12/01/2017;Encerrada;150000000;Debêntures;Banco btg pactual s.a.;1000;150000;150000000;150000;14;IPCA;8;;Anualmente;Não informado;;15/12/2030;Não se aplica;Energia elétrica;Distribuidora ou transmissora;15/12/2016;Sim;2;Real;;Não se aplica
SP-2017-50039;ANBIMA/2017/50039;Forte securitizadora s.a.;;;1;24;13/01/2017;Encerrada;11000000;CRI;Cm capital markets distribuidora de titulos e valores mobiliarios ltda.;100000;110;11000000;110;;Não identificado;;;Não se aplica;Não se aplica;;;Sênior;Financeiro;Securitizadoras;;;;Não se aplica;Compra e Venda;Pulverizado
SP-2017-00004;ANBIMA/2017/00003;Empresa concessionaria de rodovias do sul sa - ecosul;;;2;Série Única;17/01/2017;Encerrada;50000000;Debêntures;Banco itau bba s.a.;10000;5000;50000000;5000;1,4;Percentual DI;;108;Anualmente;Não informado;;17/06/2018;Não se aplica;Transporte e logística;Participações em empresas de transporte e logística;17/01/2017;Não;;Quirografária;;Não se aplica
SP-2017-00051;ANBIMA/2017/00094;Banda de couro energetica sa;;;1;Série Única;17/01/2017;Encerrada;14500000;Debêntures;Banco votorantim s.a.;100;145000;14500000;145000;10;IPCA;8;;Anualmente;Não informado;;15/01/2027;Não se aplica;Energia elétrica;Geração - fontes renováveis;15/01/2017;Sim;2;Quirografária;;Não se aplica
SP-2017-50132;ANBIMA/2017/50132;Baraúnas ii energetica sa;;;1;Série Única;17/01/2017;Encerrada;8750000;Debêntures;Banco votorantim s.a.;100;87500;8750000;87500;10;IPCA;8;;Anualmente;Não informado;;15/01/2027;Não se aplica;Energia elétrica;Geração - fontes renováveis;15/01/2017;Sim;2;Quirografária;;Não se aplica
SP-2017-50133;ANBIMA/2017/50133;Armazem mateus s.a. ;;;2;1;20/01/2017;Encerrada;60000000;Debêntures;Banco bradesco bbi s.a.;1;60000000;60000000;60000000;8;DI + Spread;3;;Anualmente;Não informado;;10/01/2025;Não se aplica;Comércio atacadista e varejista;Supermercado e hipermercado;10/01/2017;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50133;ANBIMA/2017/50134;Armazem mateus s.a. ;;;2;2;20/01/2017;Encerrada;40000000;Debêntures;Banco bradesco bbi s.a.;1;40000000;40000000;40000000;5;DI + Spread;3;;Anualmente;Não informado;;10/01/2022;Não se aplica;Comércio atacadista e varejista;Supermercado e hipermercado;10/01/2017;Não;;Real com garantia adicional;;Não se aplica
SP-2017-00010;ANBIMA/2017/00008;Brazilian securities companhia de securitizacao;Química amparo ltda.;;1;378;27/01/2017;Encerrada;35000000;CRI;Banco votorantim s.a.;10000;3500;35000000;3500;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Locação;Concentrado
SP-2017-50002;ANBIMA/2017/50002;Brazilian securities companhia de securitizacao;;;1;3;31/01/2017;Encerrada;150000000;CRA;Banco btg pactual s.a.;100000;1500;150000000;1500;1,7;Percentual DI;;98;Anualmente;Vencimento;;17/07/2017;;Financeiro;Securitizadoras;29/10/2015;Não se aplica;;Não se aplica;;
SP-2017-50135;ANBIMA/2017/50135;Auto ricci sa;;;2;1;31/01/2017;Encerrada;20000000;Debêntures;Banco modal s.a.;100000;200;20000000;200;3;DI + Spread;5;;Anualmente;Não informado;;15/05/2018;Não se aplica;Locação de veículos;;15/05/2015;Não;;Real com garantia adicional;;Não se aplica
SP-2017-00008;ANBIMA/2017/00006;Aguas de penha saneamento spe sa;;;1;Série Única;01/02/2017;Encerrada;32000000;Debêntures;Banco abc brasil s.a.;10000;3200;32000000;3200;3;DI + Spread;3;;Anualmente;Não informado;;20/01/2020;Não se aplica;Saneamento;Água e esgoto;20/01/2017;Não;;Quirografária;;Não se aplica
SP-2017-50040;ANBIMA/2017/50040;Companhia provincia de securitizacao;Vega spe construções e incorporações ltda;;2;Série Única;01/02/2017;Encerrada;9000000;CRI;Gradual corretora de cambio, titulos e valores mobiliarios s/a;9000000;1;9000000;1;;Não identificado;;;Não se aplica;Não se aplica;;;Sênior;Financeiro;Securitizadoras;;;;Não se aplica;Financiamento Imobiliário;Concentrado
SP-2023-80199;ANBIMA/2017/00007;Aguas de camboriu saneamento spe s.a.;;;1;Série Única;01/02/2017;Encerrada;38000000;Debêntures;Banco abc brasil s.a.;10000;3800;38000000;3800;3;DI + Spread;3;;Anualmente;Não informado;;20/01/2020;Não se aplica;Saneamento;Água e esgoto;20/01/2017;Não;;Quirografária;;Não se aplica
RJ-2016-06673;CRI/2016/025;Apice securitizadora s.a.;Mrv engenharia e participações s.a.;;1;64;06/02/2017;Encerrada;270000000;CRI;Xp investimentos cctvm s.a.;1000;230000;230000000;270000;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Financiamento Imobiliário;Concentrado
SP-2017-00017;ANBIMA/2017/00019;Isec securitizadora s.a.;;;4;Série Única;06/02/2017;Encerrada;69913663,58;CRI;Banco bradesco bbi s.a.;1000,009492;69913;69913663,58;69913;;Não identificado;;;Não se aplica;Não se aplica;;;;Financeiro;Securitizadoras;;;;Não se aplica;;
SP-2017-00024;ANBIMA/2017/00027;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;95;06/02/2017;Encerrada;46815000;CRA;Banco itau bba s.a.;1000;46815;46815000;46815;3,2;Percentual DI;;95;Anualmente;Outros;;30/04/2020;;Financeiro;Securitizadoras;31/01/2017;Não se aplica;;Não se aplica;;
SP-2017-50003;ANBIMA/2017/50003;Eco securitizadora de direitos creditorios do agronegocio sa;;;1;111;07/02/2017;Encerrada;13642000;CRA;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;13642;13642000;13642;5,4;DI + Spread;4;;Anualmente;Anualmente;;27/05/2022;;Financeiro;Securitizadoras;21/12/2016;Não se aplica;;Não se aplica;;
SP-2017-50136;ANBIMA/2017/50136;Telefonica brasil s.a. ;;;5;Série Única;08/02/2017;Encerrada;2000000000;Debêntures;Banco santander (brasil) s.a.;10000;200000;2000000000;200000;5;Percentual DI;;108;Anualmente;Não informado;;08/02/2022;Não se aplica;Ti e telecomunicações;Telecomunicações;08/02/2017;Não;;Quirografária;;Não se aplica
SP-2017-00020;ANBIMA/2017/00026;Vert companhia securitizadora;;;2;1;10/02/2017;Encerrada;92980000;CRA;Banco itau bba s.a.;1000;92980;92980000;92980;2,8;Percentual DI;;112;Anualmente;Outros;;28/11/2019;;Financeiro;Securitizadoras;10/02/2017;Não se aplica;;Não se aplica;;
SP-2017-00021;ANBIMA/2017/00024;Apice securitizadora s.a.;Electrolux do brasil sa;;1;87;15/02/2017;Encerrada;39000000;CRI;Banco itau bba s.a.;1000000;39;39000000;39;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Locação;Concentrado
SP-2017-00022;ANBIMA/2017/00025;Apice securitizadora s.a.;Electrolux do brasil sa;;1;88;15/02/2017;Encerrada;39000000;CRI;Banco itau bba s.a.;1000000;39;39000000;39;;Não identificado;;;Não se aplica;Não se aplica;;;Série única;Financeiro;Securitizadoras;;;;Não se aplica;Locação;Concentrado
SP-2017-50137;ANBIMA/2017/50137;Santa vitoria do palmar i energias renovaveis sa;;;1;1;15/02/2017;Encerrada;17900000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;17900;17900000;17900;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50137;ANBIMA/2017/50138;Santa vitoria do palmar i energias renovaveis sa;;;1;2;15/02/2017;Encerrada;4500000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;4500;4500000;4500;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50137;ANBIMA/2017/50139;Santa vitoria do palmar i energias renovaveis sa;;;1;3;15/02/2017;Encerrada;13400000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;13400;13400000;13400;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50173;ANBIMA/2017/50173;Lojas renner s.a. ;;;7;Série Única;15/02/2017;Encerrada;300000000;Debêntures;Banco itau bba s.a.;10000;30000;300000000;30000;3;Percentual DI;;108;Anualmente;Não informado;;13/02/2020;Não se aplica;Comércio atacadista e varejista;Varejo de diversos produtos;13/02/2017;Não;;Quirografária;;Não se aplica
SP-2017-50140;ANBIMA/2017/50140;Santa vitoria do palmar ii energias renovaveis sa;;;1;1;15/02/2017;Encerrada;41000000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;41000;41000000;41000;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50140;ANBIMA/2017/50141;Santa vitoria do palmar ii energias renovaveis sa;;;1;2;15/02/2017;Encerrada;10200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;10200;10200000;10200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50140;ANBIMA/2017/50142;Santa vitoria do palmar ii energias renovaveis sa;;;1;3;15/02/2017;Encerrada;30700000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;30700;30700000;30700;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50143;ANBIMA/2017/50143;Santa vitoria do palmar iii energias renovaveis sa;;;1;1;15/02/2017;Encerrada;8200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;8200;8200000;8200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50143;ANBIMA/2017/50144;Santa vitoria do palmar iii energias renovaveis sa;;;1;2;15/02/2017;Encerrada;2100000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;2100;2100000;2100;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50143;ANBIMA/2017/50145;Santa vitoria do palmar iii energias renovaveis sa;;;1;3;15/02/2017;Encerrada;6200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;6200;6200000;6200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50146;ANBIMA/2017/50146;Santa vitoria do palmar iv energias renovaveis sa;;;1;1;15/02/2017;Encerrada;12050000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;12050;12050000;12050;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50146;ANBIMA/2017/50147;Santa vitoria do palmar iv energias renovaveis sa;;;1;2;15/02/2017;Encerrada;3050000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;3050;3050000;3050;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50146;ANBIMA/2017/50148;Santa vitoria do palmar iv energias renovaveis sa;;;1;3;15/02/2017;Encerrada;9100000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;9100;9100000;9100;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50149;ANBIMA/2017/50149;Santa vitoria do palmar ix energias renovaveis sa;;;1;1;15/02/2017;Encerrada;8650000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;17300;17300000;8650;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50149;ANBIMA/2017/50150;Santa vitoria do palmar ix energias renovaveis sa;;;1;2;15/02/2017;Encerrada;2150000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;8650;8650000;2150;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50149;ANBIMA/2017/50151;Santa vitoria do palmar ix energias renovaveis sa;;;1;3;15/02/2017;Encerrada;6500000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;2150;2150000;6500;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50152;ANBIMA/2017/50152;Santa vitoria do palmar v energias renovaveis sa;;;1;1;15/02/2017;Encerrada;12550000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;12550;12550000;12550;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50152;ANBIMA/2017/50153;Santa vitoria do palmar v energias renovaveis sa;;;1;2;15/02/2017;Encerrada;3150000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;3150;3150000;3150;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50152;ANBIMA/2017/50154;Santa vitoria do palmar v energias renovaveis sa;;;1;3;15/02/2017;Encerrada;9400000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;9400;9400000;9400;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50155;ANBIMA/2017/50155;Santa vitoria do palmar vi energias renovaveis sa;;;1;1;15/02/2017;Encerrada;14500000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;14500;14500000;14500;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50155;ANBIMA/2017/50156;Santa vitoria do palmar vi energias renovaveis sa;;;1;2;15/02/2017;Encerrada;3600000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;3600;3600000;3600;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50155;ANBIMA/2017/50157;Santa vitoria do palmar vi energias renovaveis sa;;;1;3;15/02/2017;Encerrada;10900000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;10900;10900000;10900;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50158;ANBIMA/2017/50158;Santa vitoria do palmar vii energias renovaveis sa;;;1;1;15/02/2017;Encerrada;12800000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;12800;12800000;12800;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50158;ANBIMA/2017/50159;Santa vitoria do palmar vii energias renovaveis sa;;;1;2;15/02/2017;Encerrada;3200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;3200;3200000;3200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50158;ANBIMA/2017/50160;Santa vitoria do palmar vii energias renovaveis sa;;;1;3;15/02/2017;Encerrada;9600000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;9600;9600000;9600;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50161;ANBIMA/2017/50161;Santa vitoria do palmar viii energias renovaveis sa;;;1;1;15/02/2017;Encerrada;12150000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;12150;12150000;12150;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50161;ANBIMA/2017/50162;Santa vitoria do palmar viii energias renovaveis sa;;;1;2;15/02/2017;Encerrada;3050000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;3050;3050000;3050;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50161;ANBIMA/2017/50163;Santa vitoria do palmar viii energias renovaveis sa;;;1;3;15/02/2017;Encerrada;9100000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;9100;9100000;9100;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50164;ANBIMA/2017/50164;Santa vitoria do palmar x energias renovaveis sa;;;1;1;15/02/2017;Encerrada;8200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;8200;8200000;8200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50164;ANBIMA/2017/50165;Santa vitoria do palmar x energias renovaveis sa;;;1;2;15/02/2017;Encerrada;2000000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;2000;2000000;2000;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50164;ANBIMA/2017/50166;Santa vitoria do palmar x energias renovaveis sa;;;1;3;15/02/2017;Encerrada;6100000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;6100;6100000;6100;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50167;ANBIMA/2017/50167;Santa vitoria do palmar xi energias renovaveis sa;;;1;1;15/02/2017;Encerrada;23800000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;23800;23800000;23800;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50167;ANBIMA/2017/50168;Santa vitoria do palmar xi energias renovaveis sa;;;1;2;15/02/2017;Encerrada;6000000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;6000;6000000;6000;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50167;ANBIMA/2017/50169;Santa vitoria do palmar xi energias renovaveis sa;;;1;3;15/02/2017;Encerrada;17900000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;17900;17900000;17900;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50170;ANBIMA/2017/50170;Santa vitoria do palmar xii energias renovaveis sa;;;1;1;15/02/2017;Encerrada;28200000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;28200;28200000;28200;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50170;ANBIMA/2017/50171;Santa vitoria do palmar xii energias renovaveis sa;;;1;2;15/02/2017;Encerrada;7000000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;7000;7000000;7000;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50170;ANBIMA/2017/50172;Santa vitoria do palmar xii energias renovaveis sa;;;1;3;15/02/2017;Encerrada;21100000;Debêntures;Hsbc corretora de titulos e valores mobiliarios sa;1000;21100;21100000;21100;1,5;DI + Spread;3;;Anualmente;Não informado;;06/07/2017;Não se aplica;Energia elétrica;Geração - fontes renováveis;06/01/2016;Não;;Real com garantia adicional;;Não se aplica
SP-2017-50174;ANBIMA/2017/50174;Tivit terceirizacao de processos, servicos e tecnologia s.a.;;;2;Série Única;17/02/2017;Encerrada;83000000;Debêntures;Banco santander (brasil) s.a.;10000;8300;83000000;8300;3;DI + Spread;3;;Anualmente;Não informado;;16/01/2020;Não se aplica;Ti e telecomunicações;Serviços em tecnologia;16/01/2017;Não;;Real;;Não se aplica
